gene_nomenclature_authority_identifier,gene_symbol
FBgn0000071,Ama
FBgn0000100,RpLP0
FBgn0000114,aret
FBgn0000139,ash2
FBgn0000158,bam
FBgn0000183,BicD
FBgn0000259,CkIIbeta
FBgn0000377,crn
FBgn0000392,cup
FBgn0000412,D1
FBgn0000426,SmF
FBgn0000463,Dl
FBgn0000541,E(bx)
FBgn0000562,egl
FBgn0000581,E(Pc)
FBgn0000617,e(y)1
FBgn0000629,E(z)
FBgn0000996,dup
FBgn0001142,Gs1
FBgn0001197,His2Av
FBgn0001215,Hrb98DE
FBgn0266599,Hsc70-4
FBgn0001233,Hsp83
FBgn0001320,kni
FBgn0001491,l(1)10Bb
FBgn0001565,Hlc
FBgn0001624,dlg1
FBgn0002031,l(2)37Cc
FBgn0002174,l(2)tid
FBgn0002183,dre4
FBgn0002413,dco
FBgn0002431,hyd
FBgn0002466,sti
FBgn0002622,RpS3
FBgn0002638,Rcc1
FBgn0002787,Rpn8
FBgn0002791,mr
FBgn0002909,mus312
FBgn0003023,otu
FBgn0003041,pbl
FBgn0003090,pk
FBgn0003124,polo
FBgn0003169,put
FBgn0003261,Rm62
FBgn0003274,RpLP2
FBgn0003277,RpII215
FBgn0003346,RanGAP
FBgn0003371,sgg
FBgn0003459,stwl
FBgn0003514,sqh
FBgn0003567,su(Hw)
FBgn0003607,Su(var)205
FBgn0003612,Su(var)2-10
FBgn0003676,T-cp1
FBgn0284220,Top2
FBgn0003884,alphaTub84B
FBgn0003886,alphaTub85E
FBgn0284243,betaTub56D
FBgn0003942,RpS27A
FBgn0004066,Prosalpha4
FBgn0004103,Pp1-87B
FBgn0004106,cdc2
FBgn0004107,cdc2c
FBgn0004378,Klp61F
FBgn0004391,shtd
FBgn0004401,Pep
FBgn0004419,me31B
FBgn0004656,fs(1)h
FBgn0004811,fs(2)ltoPP43
FBgn0004838,Hrb27C
FBgn0004856,Bx42
FBgn0004872,piwi
FBgn0004913,Gnf1
FBgn0005632,faf
FBgn0287873,zip
FBgn0005677,dac
FBgn0008635,betaCop
FBgn0010217,ATPsyn-beta
FBgn0010278,Ssrp
FBgn0010282,TfIIFalpha
FBgn0010292,bys
FBgn0010341,Cdc42
FBgn0010355,Taf1
FBgn0010356,Taf5
FBgn0010379,Akt1
FBgn0010382,CycE
FBgn0010602,lwr
FBgn0011202,dia
FBgn0011211,blw
FBgn0011217,eff
FBgn0011230,poe
FBgn0011361,mtacp1
FBgn0011573,Cdc37
FBgn0011604,Iswi
FBgn0011638,La
FBgn0011725,twin
FBgn0278608,Dsp1
FBgn0011785,BRWD3
FBgn0011802,Gem3
FBgn0012058,Cdc27
FBgn0013746,alien
FBgn0283499,InR
FBgn0014020,Rho1
FBgn0014037,Su(Tpl)
FBgn0014127,barr
FBgn0014861,Mcm2
FBgn0015031,cype
FBgn0015245,Hsp60
FBgn0015282,Rpt2
FBgn0015288,RpL22
FBgn0015391,glu
FBgn0015509,lin19
FBgn0015544,spag
FBgn0015621,Clp
FBgn0015664,Dref
FBgn0015834,Trip1
FBgn0015929,dpa
FBgn0015949,hrg
FBgn0016034,mael
FBgn0016696,Pitslre
FBgn0016983,smid
FBgn0017550,Rga
FBgn0017577,Mcm5
FBgn0019624,CoVa
FBgn0019644,ATPsyn-b
FBgn0019949,Cdk9
FBgn0020235,ATPsyn-gamma
FBgn0020306,dom
FBgn0020497,emb
FBgn0020633,Mcm7
FBgn0020910,RpL3
FBgn0021760,chb
FBgn0021761,Nup154
FBgn0021796,Tor
FBgn0021875,Zfrp8
FBgn0021995,Rs1
FBgn0022213,Cas
FBgn0022943,Cbp20
FBgn0023167,SmD3
FBgn0023175,Prosalpha7
FBgn0023181,Orc4
FBgn0283468,slmb
FBgn0023509,mip130
FBgn0024177,zpg
FBgn0024227,ial
FBgn0024248,chico
FBgn0024273,WASp
FBgn0284442,Mcm3
FBgn0024556,EfTuM
FBgn0024733,RpL10
FBgn0025455,CycT
FBgn0025457,Bub3
FBgn0025637,skpA
FBgn0025674,CycK
FBgn0025724,beta'Cop
FBgn0025815,Mcm6
FBgn0025830,IntS8
FBgn0025832,Fen1
FBgn0026076,UBL3
FBgn0026196,nop5
FBgn0026206,mei-P26
FBgn0026250,eIF-1A
FBgn0026252,msk
FBgn0026373,RpII33
FBgn0026401,Nipped-B
FBgn0026427,Su(var)2-HP2
FBgn0027053,CSN5
FBgn0027055,CSN3
FBgn0027057,CSN1b
FBgn0027499,wde
FBgn0027537,Nup93-1
FBgn0027587,CG7028
FBgn0027783,SMC2
FBgn0027889,ball
FBgn0266284,ns3
FBgn0028411,Nxt1
FBgn0028427,Ilk
FBgn0028538,Sec71
FBgn0028577,pUf68
FBgn0028683,spt4
FBgn0028688,Rpn7
FBgn0028689,Rpn6
FBgn0028691,Rpn9
FBgn0028693,Rpn12
FBgn0028694,Rpn11
FBgn0028695,Rpn1
FBgn0028836,CSN7
FBgn0028837,CSN6
FBgn0028968,gammaCop
FBgn0028969,deltaCOP
FBgn0028982,Spt6
FBgn0029113,Uba2
FBgn0029134,Prosbeta5
FBgn0029512,Aos1
FBgn0029672,CG2875
FBgn0029840,raptor
FBgn0029975,CG1444
FBgn0030054,Caf1-180
FBgn0030086,CG7033
FBgn0030241,feo
FBgn0030486,Set2
FBgn0030500,Ndc80
FBgn0030719,eIF5
FBgn0030787,CG9609
FBgn0031119,CG1812
FBgn0031145,Ntf-2
FBgn0031266,CG2807
FBgn0031344,CG7420
FBgn0031493,CG3605
FBgn0031497,CG17259
FBgn0031771,CG9140
FBgn0031822,CG9548
FBgn0031883,CG11266
FBgn0031885,Mnn1
FBgn0032006,Pvr
FBgn0032050,CG13096
FBgn0032393,CG12264
FBgn0284256,bsf
FBgn0032690,CG10333
FBgn0032725,Nedd8
FBgn0032728,Tango6
FBgn0284251,CG12050
FBgn0032919,CG9253
FBgn0032988,Tif-IA
FBgn0033086,CG9410
FBgn0033185,CG1603
FBgn0033210,U2A
FBgn0033235,CG8728
FBgn0033247,Nup44A
FBgn0033354,FANCI
