gene_nomenclature_authority_identifier,gene_symbol
FBgn0027054,CSN4
FBgn0011766,E2f1
FBgn0001942 ,eIF4A
FBgn0015218,eIF4E1
FBgn0264491,how
FBgn0002962,nos
FBgn0052364,tut
FBgn0033261,udd
FBgn0024227,AurB
FBgn0000404,CycA
FBgn0265998,Doa
FBgn0027539,lili
FBgn0287725,sov
FBgn0003716,tkv
FBgn0028978,trbl
FBgn0041184,Socs36E
FBgn0262975,cnc
FBgn0035854,Dhps
FBgn0262739,AGO1
FBgn0029856,CG11700
FBgn0033029,Not3
FBgn0010300,brat
FBgn0003165,pum
FBgn0011648,Mad
FBgn0032197,ova
FBgn0266411,sima
FBgn0003512,Sry-δ
FBgn0264075,tgo
FBgn0035121,Tudor-SN
FBgn0039714,Zip99c
FBgn0003345,sd
FBgn0260397,Su(var)3-3
FBgn0034970,yki
FBgn0001325,kr
FBgn0031052,Elys
FBgn0015805,HDAC1
FBgn0033686,Hen1
FBgn0001195,His1
FBgn0027338,Kap-α3
FBgn0030268,Klp10A
FBgn0032924,Nbr
FBgn0039302,Nup358
FBgn0034617,Panx
FBgn0020887,Su(z)12
FBgn0036826,arx
FBgn0000212,brm
FBgn0010313,corto
FBgn0000588,esc
FBgn0036640,nxf2
FBgn0031401,papi
FBgn0263974,qin
FBgn0003401,shu
FBgn0267347,squ
FBgn0034939,thoc5
FBgn0263143,vret
FBgn0261266,zuc
FBgn0001297,kay
FBgn0000964,tj
FBgn0004644,hh
FBgn0003892,ptc
FBgn0051755,SoYb
FBgn0003270,amos
FBgn0000179,bi
FBgn0000352,cos
FBgn0263930,dally
FBgn0029088,disp
FBgn0000490,dpp
FBgn0001079,fu
FBgn0263782,Hmgcr
FBgn0001319,kn
FBgn0002643,mam
FBgn0004177,mts
FBgn0000273,Pka-C1
FBgn0004170,sc
FBgn0003326,sca
FBgn0023518,trr
FBgn0265974,ttv
FBgn0260987,vtd
FBgn0010453,Wnt4
FBgn0250823,gish
FBgn0010113,hdc
FBgn0010389,htl
FBgn0051481,pb
FBgn0004956,upd1
FBgn0034718,wdp
FBgn0284084,wg
FBgn0015903,apt
FBgn0261823,Asx
FBgn0024236,foi
FBgn0261988,Gprk2
FBgn0261456,hpo
FBgn0040206,krz
FBgn0002521,pho
FBgn0285917,sbb
FBgn0086129,snama
FBgn0002044,swm
FBgn0004449,Ten-m
FBgn0010433,ato
FBgn0259176,bun
FBgn0010269,Dsor1
FBgn0005558,ey
FBgn0004618,gl
FBgn0003205,Ras85D
FBgn0003267,ro
FBgn0003444,smo
FBgn0284408,trol
FBgn0087002,apolpp
FBgn0040388,boi
FBgn0041604,dlp
FBgn0031872,ihog
FBgn0024194,rasp
FBgn0003390,shf
FBgn0000928,Yb
