identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_y	subject_y
58.14	387.0	159.0	2.0	1.0	386.0	1.0	385.0	1.8500000000000003e-163	463.0	XP_017130151.1	NP_001014456.1
89.172	471.0	48.0	1.0	1.0	468.0	1.0	471.0	0.0	862.0	XP_017130391.1	NP_001014458.3
88.382	964.0	78.0	9.0	1.0	944.0	1.0	950.0	0.0	1676.0	XP_017116777.1	NP_001014465.1
86.096	712.0	74.0	11.0	1.0	690.0	1.0	709.0	0.0	1185.0	XP_041566257.1	NP_001014467.1
94.755	877.0	35.0	4.0	1.0	876.0	1.0	867.0	0.0	1571.0	XP_017115590.1	NP_001014479.1
92.744	634.0	44.0	2.0	1.0	633.0	1.0	633.0	0.0	1212.0	XP_017117024.1	NP_001014484.2
96.078	1071.0	27.0	4.0	1.0	1063.0	1.0	1064.0	0.0	2085.0	XP_041566273.1	NP_001014486.1
96.111	1080.0	27.0	4.0	1.0	1072.0	1.0	1073.0	0.0	2103.0	XP_017134218.1	NP_001014487.1
38.889	162.0	89.0	3.0	1.0	157.0	1.0	157.0	1.6900000000000001e-29	105.0	XP_041566490.1	NP_001014488.1
80.918	414.0	79.0	0.0	1.0	414.0	1.0	414.0	0.0	697.0	XP_017120721.1	NP_001014492.2
81.087	423.0	79.0	1.0	1.0	422.0	1.0	423.0	0.0	726.0	XP_017120704.1	NP_001014493.2
76.35	389.0	92.0	0.0	1.0	389.0	1.0	389.0	0.0	642.0	XP_017120713.1	NP_001014494.1
96.07	458.0	18.0	0.0	1.0	458.0	1.0	458.0	0.0	921.0	XP_017120757.1	NP_001014495.1
88.304	342.0	38.0	2.0	2.0	341.0	6.0	347.0	0.0	586.0	XP_017111431.1	NP_001014496.1
96.473	567.0	15.0	3.0	1.0	566.0	1.0	563.0	0.0	1124.0	XP_041566062.1	NP_001014498.1
81.562	2126.0	250.0	34.0	23.0	2027.0	3.0	2107.0	0.0	2600.0	XP_041566782.1	NP_001014500.2
98.792	1159.0	10.0	1.0	1.0	1155.0	1.0	1159.0	0.0	2382.0	XP_017126352.1	NP_001014504.1
75.61	428.0	194.0	12.0	260.0	634.0	353.0	764.0	1.76e-53	239.0	XP_017126355.1	NP_001014505.1
96.605	707.0	24.0	0.0	11.0	717.0	1.0	707.0	0.0	1429.0	XP_017126384.1	NP_001014512.1
96.882	834.0	26.0	0.0	1.0	834.0	1.0	834.0	0.0	1684.0	XP_017126391.1	NP_001014513.1
52.753	1126.0	510.0	8.0	1.0	1125.0	200.0	1304.0	0.0	1246.0	XP_041563340.1	NP_001014521.2
84.274	1081.0	164.0	3.0	15.0	1090.0	17.0	1096.0	0.0	1795.0	XP_017131945.1	NP_001014523.1
94.761	649.0	27.0	3.0	1.0	646.0	1.0	645.0	0.0	1168.0	XP_017131938.1	NP_001014525.1
80.675	1599.0	258.0	19.0	1.0	1560.0	1.0	1587.0	0.0	1889.0	XP_017133135.1	NP_001014527.1
87.812	320.0	39.0	0.0	1.0	320.0	1.0	320.0	0.0	588.0	XP_017133178.1	NP_001014528.1
94.227	485.0	27.0	1.0	1.0	484.0	1.0	485.0	0.0	918.0	XP_017132943.1	NP_001014529.1
52.174	207.0	99.0	0.0	1.0	207.0	1.0	207.0	6.94e-87	256.0	XP_017115348.1	NP_001014530.1
78.767	146.0	31.0	0.0	6.0	151.0	3.0	148.0	1.87e-71	211.0	XP_041563399.1	NP_001014533.1
94.785	652.0	34.0	0.0	1.0	652.0	1.0	652.0	0.0	1308.0	XP_017120540.1	NP_001014535.1
94.744	704.0	20.0	7.0	1.0	687.0	151.0	854.0	0.0	1282.0	XP_017120536.2	NP_001014537.1
91.643	359.0	20.0	7.0	1.0	357.0	1.0	351.0	0.0	577.0	XP_017123235.1	NP_001014539.1
94.344	778.0	35.0	3.0	15.0	783.0	1.0	778.0	0.0	1481.0	XP_017124871.1	NP_001014546.1
88.889	378.0	39.0	1.0	22.0	396.0	32.0	409.0	0.0	691.0	XP_017125194.1	NP_001014548.1
93.603	1360.0	65.0	10.0	1.0	1342.0	1.0	1356.0	0.0	2358.0	XP_017124864.1	NP_001014549.1
91.424	583.0	41.0	7.0	51.0	624.0	60.0	642.0	0.0	993.0	XP_017126716.1	NP_001014557.3
87.781	311.0	38.0	0.0	1.0	311.0	1.0	311.0	0.0	585.0	XP_017127627.1	NP_001014558.1
78.879	232.0	46.0	2.0	3.0	234.0	2.0	230.0	4.26e-138	387.0	XP_017122045.1	NP_001014566.1
78.333	240.0	49.0	2.0	1.0	240.0	1.0	237.0	1.45e-142	398.0	XP_017122044.1	NP_001014567.1
81.727	498.0	87.0	3.0	1.0	498.0	1.0	494.0	0.0	862.0	XP_041564431.1	NP_001014569.1
91.627	1660.0	118.0	7.0	1.0	1644.0	1.0	1655.0	0.0	2712.0	XP_017128437.1	NP_001014571.1
96.263	990.0	35.0	1.0	1.0	988.0	14.0	1003.0	0.0	1972.0	XP_017128457.1	NP_001014572.1
90.773	401.0	32.0	4.0	1.0	400.0	1.0	397.0	0.0	726.0	XP_017127303.1	NP_001014587.1
84.28	986.0	128.0	10.0	1.0	960.0	1.0	985.0	0.0	1412.0	XP_017128294.1	NP_001014589.1
94.03	268.0	16.0	0.0	4.0	271.0	5.0	272.0	0.0	526.0	XP_041564196.1	NP_001014600.1
65.465	333.0	109.0	3.0	1.0	333.0	1.0	327.0	3.67e-153	433.0	XP_017114660.1	NP_001014607.1
89.083	229.0	25.0	0.0	1.0	229.0	1.0	229.0	4.39e-159	439.0	XP_017119719.1	NP_001014609.2
78.133	407.0	81.0	2.0	1.0	399.0	1.0	407.0	0.0	636.0	XP_017117499.1	NP_001014611.1
97.753	178.0	4.0	0.0	1.0	178.0	1.0	178.0	1.14e-131	366.0	XP_017117329.1	NP_001014612.1
100.0	266.0	0.0	0.0	1.0	266.0	1.0	266.0	0.0	550.0	XP_017112245.1	NP_001014613.2
89.426	331.0	24.0	2.0	1.0	323.0	1.0	328.0	0.0	532.0	XP_017119231.1	NP_001014616.2
99.161	477.0	3.0	1.0	1.0	476.0	1.0	477.0	0.0	969.0	XP_041565353.1	NP_001014617.1
83.261	693.0	92.0	7.0	269.0	954.0	286.0	961.0	0.0	889.0	XP_017113612.2	NP_001014632.3
99.281	139.0	1.0	0.0	1.0	139.0	1.0	139.0	6.22e-100	282.0	XP_017113678.1	NP_001014633.2
91.489	94.0	8.0	0.0	1.0	94.0	1.0	94.0	6.609999999999999e-60	177.0	XP_017112070.1	NP_001014639.1
99.66	1175.0	4.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2437.0	XP_017122554.1	NP_001014651.1
99.667	1200.0	4.0	0.0	1.0	1200.0	1.0	1200.0	0.0	2490.0	XP_017122543.1	NP_001014654.1
99.663	1187.0	4.0	0.0	1.0	1187.0	1.0	1187.0	0.0	2463.0	XP_017122546.1	NP_001014656.1
99.661	1180.0	4.0	0.0	1.0	1180.0	1.0	1180.0	0.0	2447.0	XP_017122548.1	NP_001014658.1
99.67	1213.0	4.0	0.0	1.0	1213.0	1.0	1213.0	0.0	2520.0	XP_017122539.1	NP_001014659.1
99.66	1175.0	4.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2435.0	XP_017122555.1	NP_001014660.1
99.917	1210.0	1.0	0.0	1.0	1210.0	1.0	1210.0	0.0	2520.0	XP_017122533.1	NP_001014661.2
99.66	1175.0	4.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2438.0	XP_017122556.1	NP_001014662.1
99.66	1175.0	4.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2435.0	XP_017122557.1	NP_001014663.1
99.66	1175.0	4.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2438.0	XP_017122558.1	NP_001014664.1
91.548	982.0	67.0	9.0	1.0	968.0	1.0	980.0	0.0	1673.0	XP_017128980.1	NP_001014678.1
87.572	2076.0	183.0	23.0	1.0	2030.0	1.0	2047.0	0.0	3006.0	XP_017128982.1	NP_001014681.2
97.131	488.0	14.0	0.0	1.0	488.0	1.0	488.0	0.0	1000.0	XP_017131689.1	NP_001014684.1
97.77	1121.0	24.0	1.0	1.0	1120.0	1.0	1121.0	0.0	2261.0	XP_017126051.1	NP_001014687.3
97.973	1184.0	23.0	1.0	1.0	1183.0	1.0	1184.0	0.0	2395.0	XP_017126050.1	NP_001014688.3
84.898	1417.0	174.0	13.0	1.0	1382.0	1.0	1412.0	0.0	2014.0	XP_017126061.1	NP_001014691.2
77.54	935.0	166.0	10.0	1.0	898.0	1.0	928.0	0.0	1252.0	XP_017126179.1	NP_001014693.1
80.781	640.0	97.0	7.0	1.0	618.0	1.0	636.0	0.0	868.0	XP_017126135.1	NP_001014695.1
82.003	689.0	113.0	7.0	1.0	680.0	1.0	687.0	0.0	1004.0	XP_041564538.1	NP_001014701.1
69.115	667.0	199.0	3.0	1.0	663.0	1.0	664.0	0.0	900.0	XP_041564555.1	NP_001014703.1
68.606	653.0	198.0	3.0	1.0	649.0	1.0	650.0	0.0	875.0	XP_017130787.1	NP_001014705.1
96.037	1085.0	34.0	4.0	1.0	1083.0	1.0	1078.0	0.0	2097.0	XP_017112291.1	NP_001014714.1
