Gene,anopheles darlingi,anopheles gambiae,culex quinquefasciatus,lucilla cuprina,musca,anopheles darlingi,,,,anopheles gambiae,,,,culex quinquefasciatus,,,,lucilla cuprina,,,,musca,,,,simulans,,,,yakuba,,,,pseudo,,,,ananassae,,,,grimshawi,,,,willistoni,,,,virilis,,,,mojavensis,,,,sechellia,,,,Meip 26,,,,all but E and F,only E and F,all but B and E,all but E,all but c,all but D and E,all but D ,only B and F,only F,all but F,all but C and D,only B and E,all but B and D
,,,,,,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,Target % ID,Query% ID,GOC score,High confidence,,,,,,,,,,,,,,,,,
RPlP0,x,x,x,,,81.65,81.39,0,no,82.17,81.39,0,no,83.49,82.97,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bgcn,,all but E and F,,RPIP0,ama,dco,hyd,pk,sgh,eff,Cdc42,Dref,CG9548,Cbp20,chico,UBL3
ama,,,,x,x,,,,,,,,,,,,,,,,,,,,,93.75,96.77,100,yes,92.49,90.32,100,yes,81.16,78.3,75,yes,76.65,75.07,75,yes,74.18,73.31,75,yes,83.33,80.65,75,yes,77.64,75.37,75,yes,71.87,68.92,75,yes,94.59,92.38,100,yes,,,only E and F,,Su(Tpl),bam,Mis12,mus312,cas,RpII33,Rho1,,,Bet3,Fen1,,
aret,x,x,x,x,x,,,,,,,,,,,,,71.55,51.23,0,no,,,,,,,,,89.49,90.37,75,yes,74.45,75.19,75,yes,80.71,83.7,0,no,66.38,67.28,50,yes,65.09,69.75,75,yes,67.28,68.02,25,no,67.99,67.65,50,yes,90.81,91.48,100,yes,,,,,mael,cup,barc,alphaTub84B,Uba2,armi,smid,,,,CG42307,,
ash2,x,x,x,x,x,15.46,32.22,0,no,,,,,22.3,30.1,0,no,20.7,25.94,0,no,20.8,25.94,0,no,31.71,27.2,n/a,yes,32.84,27.62,n/a,yes,29.2,27.62,n/a,yes,28.84,25.94,n/a,yes,29.26,28.03,n/a,yes,28.81,28.45,n/a,yes,32.69,28.45,n/a,yes,26.88,28.45,n/a,yes,32.34,27.2,n/a,yes,,,,,elF-1A,D1,,RpS27A,unc-104,,zpg,,,,,,
bam,,,,x,x,,,,,,,,,,,,,,,,,,,,,84.16,84.16,100,yes,74.89,74.89,100,yes,43.35,42.76,100,yes,42.79,42.99,100,yes,37.79,36.43,50,yes,41.16,38.46,50,yes,38.58,38.24,50,yes,36.62,35.29,50,yes,,,,,,,only E and F,,CG12264,alphaTub85E,,Gnf1,MED17,,CG8632,,,,,,
BicD,x,x,x,x,x,69.8,69.58,0,no,71.39,70.95,0,no,67.75,64.71,0,no,82.05,80.92,0,no,83.02,81.67,0,no ,97.14,97.38,100,yes,97.76,98,100,yes,93.99,93.64,0,no,92,91.77,100,yes,91.62,88.65,0,no,92.76,92.64,0,no,92.12,91.9,0,no,91.89,91.77,0,no,95.61,54.36,100,yes,,,,,CG9253,betaTub56D,,Cdk9,CAP-D2,,CG8005,,,,,,
CkIIbeta,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,91.49,100,yes,80.99,90.64,100,yes,,,,,91.56,92.34,100,yes,96.2,97.02,25,no,95.8,97.02,50,yes,96.2,97.02,25,no,94.17,96.17,50,yes,95.53,100,100,yes,,,,,,cdc2c,,RpL3,,,CG10418,,,,,,
crn,x,x,x,x,x,80.26,80.48,0,yes,78.47,80.48,0,yes,79.91,79.91,0,yes,81.29,86.04,25,yes,83.75,85.9,0,no ,96.92,98.58,100,yes,97.29,97.29,100,yes,92.02,90.31,100,yes,92.44,90.6,50,yes,89.25,89.89,50,yes,90.62,89.46,50,yes,91.34,90.17,100,yes,88.51,88.89,100,yes,99,99,100,yes,,,,,,Klp61F,,CG13096,,,CG42245,,,,,,
cup,,,,x,x,15.43,8.95,0,no,15.99,9.49,0,no,15.75,8.95,0,no,,,,,,,,,92.36,93.11,100,yes,86.51,88.45,50,yes,57.8,59.71,50,yes,65.65,65.53,50,yes,47.27,52.64,25,no,50.09,52.19,50,yes,47.65,53.45,50,yes,42.44,51.75,50,yes,91.83,92.57,100,yes,,,only E and F,,,mtacp1,,Nedd8,,,,,,,,,
D1,,,,x,x,,,,,,,,,,,,,,,,,,,,,92.51,80,75,yes,86.16,85.92,100,yes,40.29,39.72,25,no,52.41,52.11,100,yes,,,,,36.01,41.69,0,no,37.87,47.04,25,no,38.31,44.79,50,yes,93.48,92.96,100,yes,,,only E and F,,,lin19,,mip120,,,,,,,,,
SmF,x,x,x,x,x,81.82,81.82,0,yes,81.82,81.82,0,yes,81.82,81.82,0,no,85.23,85.23,0,no,86.36,86.36,0,no ,100,100,100,yes,100,100,100,yes,100,100,100,yes,100,100,100,yes,100,100,100,yes,100,100,100,yes,100,100,75,yes,100,100,100,yes,100,100,1000,yes,,,,,,Beta’Cop,,CG3803,,,,,,,,,
Dl,,x,x,,,,,,,38.09,46.82,25,yes,41.47,10.8,0,no,,,,,,,,,98.92,99.04,100,yes,98.44,98.44,100,yes,80.28,82.11,100,yes,90.83,90.4,100,yes,,,,,,,,,68.26,73.59,100,yes,72.61,72.87,100,yes,98.92,99.04,100,yes,,,,,,IntS8,,MEP-1,,,,,,,,,
E(bx),x,x,x,x,x,34.92,30.82,0,yes,32.45,38.86,0,yes,36.93,31.26,0,yes,54.27,52.99,0,no,54.04,51.32,0,no ,96.58,92.18,100,yes,89.38,89.35,100,yes,69.96,69.68,0,no,69.92,71.97,50,yes,66.47,66.21,50,yes,64.96,64.8,50,yes,11.74,1.12,0,no,10.97,1.56,0,no,96.62,49.73,100,yes,,,,,,Su(var)2-HP2,,CG10673,,,,,,,,,
