identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_y	subject_y
74.896	482.0	88.0	11.0	1.0	467.0	1.0	464.0	0.0	712.0	XP_002064716.2	NP_001014458.3
75.988	962.0	140.0	14.0	1.0	944.0	1.0	889.0	0.0	1411.0	XP_023032363.1	NP_001014465.1
69.859	710.0	133.0	15.0	2.0	690.0	1.0	650.0	0.0	904.0	XP_046867060.1	NP_001014467.1
88.262	886.0	79.0	9.0	1.0	876.0	1.0	871.0	0.0	1475.0	XP_046866786.1	NP_001014479.1
83.975	649.0	84.0	7.0	1.0	633.0	1.0	645.0	0.0	1102.0	XP_002066476.2	NP_001014484.2
75.862	1131.0	185.0	21.0	2.0	1063.0	3.0	1114.0	0.0	1268.0	XP_046866716.1	NP_001014486.1
76.053	1140.0	185.0	21.0	2.0	1072.0	3.0	1123.0	0.0	1287.0	XP_046866715.1	NP_001014487.1
57.072	403.0	167.0	4.0	12.0	411.0	12.0	411.0	3.86e-172	488.0	XP_023032524.1	NP_001014492.2
65.0	420.0	146.0	1.0	6.0	424.0	7.0	426.0	0.0	599.0	XP_002065640.2	NP_001014493.2
55.98	393.0	162.0	4.0	1.0	384.0	2.0	392.0	3.3199999999999998e-158	450.0	XP_002066885.1	NP_001014494.1
88.646	458.0	52.0	0.0	2.0	459.0	3.0	460.0	0.0	855.0	XP_002063603.2	NP_001014495.1
87.889	578.0	51.0	10.0	1.0	566.0	1.0	571.0	0.0	979.0	XP_023031822.1	NP_001014498.1
90.563	1155.0	95.0	4.0	1.0	1155.0	1.0	1141.0	0.0	2109.0	XP_002074594.2	NP_001014504.1
53.906	147.0	64.0	3.0	490.0	634.0	330.0	468.0	6.28e-33	146.0	XP_002074852.1	NP_001014505.1
93.054	835.0	56.0	2.0	1.0	834.0	1.0	834.0	0.0	1576.0	XP_002061509.1	NP_001014513.1
41.449	1187.0	629.0	6.0	1.0	1125.0	230.0	1412.0	0.0	940.0	XP_023033023.2	NP_001014521.2
97.826	184.0	4.0	0.0	1.0	184.0	1.0	184.0	2.91e-133	370.0	XP_002068809.1	NP_001014522.2
65.209	1098.0	334.0	18.0	19.0	1090.0	23.0	1098.0	0.0	1328.0	XP_023037558.1	NP_001014523.1
82.37	675.0	68.0	9.0	1.0	646.0	13.0	665.0	0.0	1001.0	XP_023030751.1	NP_001014525.1
74.922	319.0	79.0	1.0	2.0	319.0	1.0	319.0	0.0	508.0	XP_002066082.1	NP_001014528.1
82.636	478.0	78.0	2.0	1.0	478.0	1.0	473.0	0.0	815.0	XP_002066083.1	NP_001014529.1
54.902	153.0	63.0	1.0	6.0	152.0	7.0	159.0	4.07e-50	157.0	XP_002063886.1	NP_001014533.1
68.398	462.0	69.0	11.0	1.0	401.0	1.0	446.0	2.3e-154	463.0	XP_023033494.1	NP_001014537.1
82.675	785.0	120.0	4.0	15.0	783.0	1.0	785.0	0.0	1343.0	XP_002074676.1	NP_001014546.1
75.066	377.0	89.0	3.0	22.0	393.0	28.0	404.0	0.0	582.0	XP_002063684.3	NP_001014548.1
82.323	1369.0	181.0	15.0	1.0	1342.0	1.0	1335.0	0.0	2015.0	XP_015033703.1	NP_001014549.1
76.973	621.0	118.0	6.0	26.0	624.0	87.0	704.0	0.0	867.0	XP_046867839.1	NP_001014557.3
76.206	311.0	74.0	0.0	1.0	311.0	1.0	311.0	0.0	514.0	XP_002067965.1	NP_001014558.1
61.787	526.0	168.0	8.0	1.0	498.0	1.0	521.0	0.0	621.0	XP_023037517.1	NP_001014569.1
82.775	418.0	52.0	4.0	1.0	400.0	1.0	416.0	0.0	661.0	XP_002062341.2	NP_001014587.1
66.635	1049.0	237.0	22.0	1.0	960.0	1.0	1025.0	0.0	1104.0	XP_046868265.1	NP_001014589.1
86.108	2102.0	156.0	22.0	1.0	1982.0	1.0	2086.0	0.0	3264.0	XP_002062369.2	NP_001014591.1
83.088	272.0	45.0	1.0	1.0	271.0	1.0	272.0	2.2599999999999998e-172	476.0	XP_002062251.1	NP_001014600.1
44.048	336.0	158.0	8.0	1.0	320.0	1.0	322.0	1.05e-77	241.0	XP_002070063.1	NP_001014607.1
64.211	285.0	83.0	11.0	1.0	276.0	1.0	275.0	8.94e-116	333.0	XP_002070064.1	NP_001014608.1
45.833	432.0	164.0	13.0	7.0	397.0	5.0	407.0	4.74e-101	305.0	XP_002074117.1	NP_001014611.1
