identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_y	subject_y
77.461	386.0	87.0	0.0	1.0	386.0	1.0	386.0	0.0	603.0	XP_043640353.1	NP_001014456.1
93.249	474.0	26.0	1.0	1.0	468.0	1.0	474.0	0.0	825.0	XP_043645203.1	NP_001014458.3
93.732	702.0	27.0	6.0	2.0	690.0	1.0	698.0	0.0	1260.0	XP_043656470.1	NP_001014467.1
98.122	852.0	13.0	2.0	1.0	850.0	1.0	851.0	0.0	1727.0	XP_043641297.1	NP_001014478.1
97.995	1097.0	13.0	4.0	1.0	1090.0	1.0	1095.0	0.0	2238.0	XP_043641128.1	NP_001014481.1
97.156	633.0	17.0	1.0	1.0	633.0	1.0	632.0	0.0	1260.0	XP_043652864.1	NP_001014484.2
99.063	1067.0	6.0	2.0	1.0	1063.0	1.0	1067.0	0.0	2143.0	XP_043641638.1	NP_001014486.1
62.658	158.0	51.0	3.0	1.0	157.0	1.0	151.0	1.7799999999999998e-61	186.0	XP_043646084.1	NP_001014488.1
90.821	414.0	38.0	0.0	1.0	414.0	1.0	414.0	0.0	781.0	XP_043642623.1	NP_001014492.2
90.376	426.0	41.0	0.0	1.0	426.0	1.0	426.0	0.0	806.0	XP_043642621.1	NP_001014493.2
88.462	390.0	44.0	1.0	1.0	389.0	1.0	390.0	0.0	696.0	XP_043642624.1	NP_001014494.1
98.913	460.0	5.0	0.0	1.0	460.0	1.0	460.0	0.0	948.0	XP_043641881.1	NP_001014495.1
98.41	566.0	8.0	1.0	1.0	566.0	1.0	565.0	0.0	1154.0	XP_043642949.1	NP_001014498.1
91.499	2035.0	133.0	16.0	1.0	2027.0	1.0	2003.0	0.0	3051.0	XP_043640448.1	NP_001014500.2
98.961	1155.0	12.0	0.0	1.0	1155.0	1.0	1155.0	0.0	2379.0	XP_043663155.1	NP_001014504.1
69.545	637.0	178.0	4.0	1.0	634.0	1.0	624.0	0.0	810.0	XP_043663166.1	NP_001014505.1
99.717	707.0	2.0	0.0	11.0	717.0	12.0	718.0	0.0	1461.0	XP_043640735.1	NP_001014512.1
80.356	1125.0	220.0	1.0	1.0	1125.0	35.0	1158.0	0.0	1917.0	XP_043643549.1	NP_001014521.2
97.826	184.0	4.0	0.0	1.0	184.0	1.0	184.0	3.57e-133	370.0	XP_043643587.1	NP_001014522.2
91.376	1090.0	93.0	1.0	1.0	1090.0	1.0	1089.0	0.0	1989.0	XP_043645864.1	NP_001014523.1
97.994	648.0	11.0	1.0	1.0	646.0	1.0	648.0	0.0	1288.0	XP_043641640.1	NP_001014525.1
92.812	320.0	23.0	0.0	1.0	320.0	1.0	320.0	0.0	617.0	XP_043642773.1	NP_001014528.1
95.248	484.0	23.0	0.0	1.0	484.0	1.0	484.0	0.0	926.0	XP_043644100.1	NP_001014529.1
78.125	192.0	42.0	0.0	2.0	193.0	9.0	200.0	2.34e-116	330.0	XP_043644967.1	NP_001014530.1
78.218	202.0	44.0	0.0	1.0	202.0	1.0	202.0	2.55e-121	342.0	XP_043644968.1	NP_001014531.1
89.474	152.0	16.0	0.0	1.0	152.0	1.0	152.0	4.26e-90	258.0	XP_043644243.1	NP_001014533.1
96.078	357.0	14.0	0.0	1.0	357.0	1.0	357.0	0.0	700.0	XP_043642470.1	NP_001014539.1
98.212	783.0	14.0	0.0	1.0	783.0	1.0	783.0	0.0	1617.0	XP_043643180.1	NP_001014546.1
95.2	375.0	18.0	0.0	22.0	396.0	30.0	404.0	0.0	700.0	XP_043645582.1	NP_001014548.1
98.659	1342.0	18.0	0.0	1.0	1342.0	1.0	1342.0	0.0	2722.0	XP_043641482.1	NP_001014549.1
