identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_y	subject_y
54.756	389.0	169.0	4.0	1.0	386.0	1.0	385.0	5.0999999999999996e-138	398.0	XP_020804694.1	NP_001014456.1
84.106	453.0	71.0	1.0	1.0	453.0	1.0	452.0	0.0	772.0	XP_020805912.1	NP_001014458.3
77.298	718.0	101.0	15.0	2.0	690.0	20.0	704.0	0.0	1033.0	XP_020806034.1	NP_001014467.1
88.219	1112.0	105.0	6.0	1.0	1090.0	1.0	1108.0	0.0	1885.0	XP_020809497.1	NP_001014481.1
91.009	634.0	56.0	1.0	1.0	633.0	1.0	634.0	0.0	1191.0	XP_020810682.1	NP_001014484.2
72.947	414.0	112.0	0.0	1.0	414.0	1.0	414.0	0.0	629.0	XP_020812504.1	NP_001014492.2
75.822	426.0	102.0	1.0	1.0	425.0	1.0	426.0	0.0	686.0	XP_020812508.1	NP_001014493.2
66.324	389.0	131.0	0.0	1.0	389.0	2.0	390.0	0.0	561.0	XP_020812506.1	NP_001014494.1
94.336	459.0	26.0	0.0	1.0	459.0	1.0	459.0	0.0	911.0	XP_020812507.1	NP_001014495.1
94.014	568.0	31.0	3.0	1.0	566.0	1.0	567.0	0.0	1053.0	XP_020809460.1	NP_001014498.1
96.549	1159.0	33.0	5.0	1.0	1155.0	1.0	1156.0	0.0	2309.0	XP_020798444.1	NP_001014504.1
96.882	834.0	26.0	0.0	1.0	834.0	1.0	834.0	0.0	1688.0	XP_020815492.1	NP_001014513.1
42.795	1145.0	619.0	8.0	2.0	1121.0	24.0	1157.0	0.0	975.0	XP_020800924.1	NP_001014521.2
79.658	1111.0	202.0	11.0	2.0	1090.0	4.0	1112.0	0.0	1691.0	XP_020805979.1	NP_001014523.1
92.672	655.0	36.0	5.0	1.0	646.0	1.0	652.0	0.0	1106.0	XP_020803439.1	NP_001014525.1
86.25	320.0	44.0	0.0	1.0	320.0	1.0	320.0	0.0	578.0	XP_020815083.1	NP_001014528.1
87.321	489.0	56.0	3.0	1.0	484.0	1.0	488.0	0.0	858.0	XP_020815229.1	NP_001014529.1
67.763	152.0	47.0	1.0	1.0	152.0	1.0	150.0	2.7800000000000003e-73	216.0	XP_020803777.1	NP_001014533.1
90.549	656.0	62.0	0.0	1.0	656.0	1.0	656.0	0.0	1260.0	XP_020808118.1	NP_001014535.1
89.74	770.0	78.0	1.0	15.0	783.0	1.0	770.0	0.0	1422.0	XP_020802436.1	NP_001014546.1
85.405	370.0	53.0	1.0	22.0	390.0	27.0	396.0	0.0	659.0	XP_020798565.1	NP_001014548.1
88.424	311.0	36.0	0.0	1.0	311.0	1.0	311.0	0.0	582.0	XP_020815933.1	NP_001014558.1
89.886	1661.0	146.0	13.0	1.0	1644.0	54.0	1709.0	0.0	2635.0	XP_020811951.1	NP_001014571.1
86.732	407.0	47.0	2.0	1.0	400.0	1.0	407.0	0.0	669.0	XP_020813727.1	NP_001014587.1
78.664	1003.0	154.0	22.0	1.0	960.0	1.0	986.0	0.0	1281.0	XP_020816442.1	NP_001014589.1
91.163	2037.0	124.0	21.0	1.0	1983.0	1.0	2035.0	0.0	3368.0	XP_020801884.1	NP_001014591.1
94.922	256.0	13.0	0.0	16.0	271.0	17.0	272.0	0.0	510.0	XP_020816355.1	NP_001014600.1
66.851	724.0	187.0	16.0	9.0	699.0	2.0	705.0	0.0	813.0	XP_020812691.1	NP_001014604.1
