,gene_description,gene_nomenclature_authority_identifier,gene_symbol_x,gene_synonyms_0,gene_synonyms_1,query_0,gene_symbol_y
0,Amalgam,FBgn0000071,Ama,ama,AMA,NP_788589.1,Ama
1,Ribosomal protein LP0,FBgn0000100,RpLP0,Ap3,AP3,NP_524211.1,RpLP0
2,bruno 1,FBgn0000114,bru1,aret,Aret,NP_723737.1,aret
3,"absent, small, or homeotic discs 2",FBgn0000139,ash2,1124/11,291.8,NP_788735.1,ash2
4,bag of marbles,FBgn0000158,bam,alpha,Bam,NP_476800.1,bam
5,Bicaudal D,FBgn0000183,BicD,almond,anon-EST:fe2A11,NP_724056.1,BicD
6,Casein kinase II beta subunit,FBgn0000259,CkIIbeta,And,betaCK2,NP_001245629.1,CkIIbeta
7,crooked neck,FBgn0000377,crn,62D9.a,CG18842,NP_477118.1,crn
8,cup,FBgn0000392,cup,CG11181,Cup,NP_523493.3,cup
9,D1 chromosomal protein,FBgn0000412,D1,CG9745,dD1,NP_731320.1,D1
10,Small ribonucleoprotein particle protein SmF,FBgn0000426,SmF,BcDNA:GM23968,CG16792,NP_523708.2,SmF
11,Delta,FBgn0000463,Dl,0495/20,0926/11,NP_732412.1,Dl
12,Enhancer of bithorax,FBgn0000541,E(bx),CG10894,CG17135,NP_001261187.1,E(bx)
13,egalitarian,FBgn0000562,egl,CG4051,Dmel\CG4051,NP_726360.3,egl
14,Enhancer of Polycomb,FBgn0000581,E(Pc),anon-48Ac,CG7776,NP_001260897.1,E(Pc)
15,enhancer of yellow 1,FBgn0000617,e(y)1,CG6474,d40,NP_523391.3,e(y)1
16,Enhancer of zeste,FBgn0000629,E(z),CG6502,Dmel\CG6502,NP_001261682.1,E(z)
17,double parked,FBgn0000996,dup,19k,anon-WO0257455.31,NP_524878.1,dup
18,Glutamine synthetase 1,FBgn0001142,Gs1,CG2718,Dmel\CG2718,NP_722606.1,Gs1
19,Histone H2A variant,FBgn0001197,His2Av,*i H2av,5499,NP_524519.1,His2Av
20,,FBgn0001215,,,,,Hrb98DE
21,Heat shock protein cognate 4,FBgn0266599,Hsc70-4,anon-WO0118547.237,Bap74,NP_788680.1,Hsc70-4
22,Heat shock protein 83,FBgn0001233,Hsp83,143198_at,83,NP_523899.1,Hsp83
23,knirps,FBgn0001320,kni,CG4717,Dmel\CG4717,NP_524187.1,kni
24,lethal (1) 10Bb,FBgn0001491,l(1)10Bb,10Ba,CG1639,NP_511117.1,l(1)10Bb
25,Helicase,FBgn0001565,Hlc,11P1,14,NP_523434.2,Hlc
26,discs large 1,FBgn0001624,dlg1,11,anon-EST:Posey93,NP_996405.1,dlg1
27,lethal (2) 37Cc,FBgn0002031,l(2)37Cc,Cc,CG10691,NP_724165.1,l(2)37Cc
28,uncharacterized protein,FBgn0002174,CG5504,cDNA 10D,Dmel\CG5504,NP_524932.2,l(2)tid
29,dre4,FBgn0002183,dre4,CG1828,Dmel\CG1828,NP_476610.2,dre4
30,discs overgrown,FBgn0002413,dco,0538/13,0915/10,NP_733415.1,dco
31,hyperplastic discs,FBgn0002431,hyd,c43,CG9484,NP_524296.2,hyd
32,sticky,FBgn0002466,sti,anon-WO0118547.388,CG10522,NP_648584.1,sti
33,Ribosomal protein S3,FBgn0002622,RpS3,6779,CG6779,NP_476632.1,RpS3
34,Regulator of chromosome condensation 1,FBgn0002638,Rcc1,bj1,Bj1,NP_729119.1,Rcc1
35,Regulatory particle non-ATPase 8,FBgn0002787,Rpn8,CG3416,Dmel\CG3416,NP_523845.2,Rpn8
36,morula,FBgn0002791,mr,Apc2,APC2,NP_611862.1,mr
37,mutagen-sensitive 312,FBgn0002909,mus312,CG8601,Dmel\CG8601,NP_648104.2,mus312
38,ovarian tumor,FBgn0003023,otu,CG12743,Dmel\CG12743,NP_996379.1,otu
39,pebble,FBgn0003041,pbl,0083/20,0293/09,NP_523965.2,pbl
40,,FBgn0003090,,,,,pk
41,polo,FBgn0003124,polo,0256/04,1324/08,NP_524179.2,polo
42,punt,FBgn0003169,put,Act-r,Atr,NP_731926.1,put
43,Rm62,FBgn0003261,Rm62,4136,CG10279,NP_524243.2,Rm62
44,Ribosomal protein LP2,FBgn0003274,RpLP2,BcDNA:SD22208,bs34h02.y1,NP_523764.1,RpLP2
45,RNA polymerase II 215kD subunit,FBgn0003277,RpII215,5,8WG16,NP_511124.1,RpII215
46,Ran GTPase activating protein,FBgn0003346,RanGAP,CG9999,CT28175,NP_476712.1,RanGAP
47,shaggy,FBgn0003371,sgg,anon-WO03040301.254,CG2621,NP_476716.2,sgg
48,stonewall,FBgn0003459,stwl,84,CG3836,NP_524068.2,stwl
49,spaghetti squash,FBgn0003514,sqh,CG3595,Dmel\CG3595,NP_511057.1,sqh
50,suppressor of Hairy wing,FBgn0003567,su(Hw),CG8573,Dmel\CG8573,NP_731897.1,su(Hw)
51,Suppressor of variegation 205,FBgn0003607,Su(var)205,CBX5,CG8409,NP_723361.1,Su(var)205
52,Suppressor of variegation 2-10,FBgn0003612,Su(var)2-10,CG8068,CLOT2057,NP_724749.1,Su(var)2-10
53,Chaperonin containing TCP1 subunit 1,FBgn0003676,CCT1,BEST:GH05123,cct1,NP_732748.1,T-cp1
54,Topoisomerase 2,FBgn0284220,Top2,CG10223,CHRAC,NP_476760.1,Top2
55,alpha-Tubulin at 84B,FBgn0003884,alphaTub84B,1t,a-tub84B,NP_476772.1,alphaTub84B
56,,FBgn0003886,,,,,alphaTub85E
57,beta-Tubulin at 56D,FBgn0284243,betaTub56D,1t,A1ZBL0_DROME,NP_523795.2,betaTub56D
58,Ribosomal protein S27A,FBgn0003942,RpS27A,CG5271,Dmel\CG5271,NP_476778.1,RpS27A
59,Proteasome alpha4 subunit,FBgn0004066,Prosalpha4,28.1Pros,3422,NP_525092.1,Prosalpha4
60,,FBgn0004103,,,,,Pp1-87B
61,Cyclin-dependent kinase 1,FBgn0004106,Cdk1,5363,cdc,NP_476797.1,cdc2
62,Cyclin-dependent kinase 2,FBgn0004107,Cdk2,cdc2c,Cdc2c,NP_732544.1,cdc2c
63,Kinesin-like protein at 61F,FBgn0004378,Klp61F,6345,CG9191,NP_476818.1,Klp61F
64,shattered,FBgn0004391,shtd,Apc1,APC1,NP_573025.2,shtd
65,Protein on ecdysone puffs,FBgn0004401,Pep,CG6143,Dmel\CG6143,NP_524858.1,Pep
66,maternal expression at 31B,FBgn0004419,me31B,CG4916,DDX6,NP_523533.2,me31B
67,female sterile (1) homeotic,FBgn0004656,fs(1)h,anon-EST:fe1G2,anon-EST:Liang-1.81,NP_001259321.1,fs(1)h
68,female sterile (2) ltoPP43,FBgn0004811,fs(2)ltoPP43,BEST:LD12957,CG10528,NP_524940.1,fs(2)ltoPP43
69,Heterogeneous nuclear ribonucleoprotein at 27C,FBgn0004838,Hrb27C,10280,CG10377,NP_723229.1,Hrb27C
70,Bx42,FBgn0004856,Bx42,bx42,BX42,NP_511093.2,Bx42
71,P-element induced wimpy testis,FBgn0004872,piwi,CG6122,Dmel\CG6122,NP_476875.1,piwi
72,Germ line transcription factor 1,FBgn0004913,Gnf1,CG1119,Dmel\CG1119,NP_524229.1,Gnf1
73,fat facets,FBgn0005632,faf,BcDNA.LD22582,BcDNA:LD22582,NP_524612.2,faf
74,,FBgn0287873,,,,,zip
75,dachshund,FBgn0005677,dac,BG:DS02780.3,CG4952,NP_001014487.1,dac
76,Coat Protein (coatomer) beta,FBgn0008635,betaCOP,BcDNA.GH09317,BcDNA:GH09317,NP_523400.1,betaCop
77,"ATP synthase, beta subunit",FBgn0010217,ATPsynbeta,ATP,ATP syn-beta,NP_726631.1,ATPsyn-beta
78,Structure specific recognition protein,FBgn0010278,Ssrp,Cf5,CG4817,NP_523830.2,Ssrp
79,Transcription factor IIFalpha,FBgn0010282,TfIIFalpha,154355_at,CG10281,NP_524246.1,TfIIFalpha
80,by S6,FBgn0010292,bys,CG1430,Dmel\CG1430,NP_511074.1,bys
81,Cdc42,FBgn0010341,Cdc42,Cdc-42,CDC-42,NP_523414.1,Cdc42
82,TBP-associated factor 1,FBgn0010355,Taf1,BG:DS00004.13,cel,NP_476956.3,Taf1
83,TBP-associated factor 5,FBgn0010356,Taf5,CG7704,d80,NP_476957.1,Taf5
84,Akt1,FBgn0010379,Akt1,akt,Akt,NP_732115.1,Akt1
85,Cyclin E,FBgn0010382,CycE,3938,BG:DS07108.3,NP_001246037.1,CycE
86,lesswright,FBgn0010602,lwr,CG3018,dip4,NP_722637.1,lwr
87,diaphanous,FBgn0011202,dia,38E.16,CG1768,NP_724285.1,dia
88,bellwether,FBgn0011211,blw,A2(2nd)27,ATP syn-alpha,NP_726243.1,blw
89,effete,FBgn0011217,eff,3527,6535,NP_731941.1,eff
90,purity of essence,FBgn0011230,poe,3420,calo,NP_476986.1,poe
91,NADH dehydrogenase (ubiquinone) acyl carrier protein,FBgn0011361,ND-ACP,ACPM,CG9160,NP_477002.1,mtacp1
92,Cdc37,FBgn0011573,Cdc37,cdc37,CG12019,NP_477006.1,Cdc37
93,Imitation SWI,FBgn0011604,Iswi,ACF,anon-EP1279744.124,NP_725204.1,Iswi
94,La autoantigen-like,FBgn0011638,La,38C.38,BEST:LD24519,NP_477014.1,La
95,twin,FBgn0011725,twin,BEST:GH20274,ccr4,NP_732964.1,twin
96,Dorsal switch protein 1,FBgn0278608,Dsp1,CG12223,Dmel\CG12223,NP_001138203.1,Dsp1
97,BRWD3,FBgn0011785,BRWD3,anon-WO0118547.520,anon-WO0118547.620,NP_732982.1,BRWD3
98,Gemin 3,FBgn0011802,Gem3,BcDNA.LD05563,BcDNA:LD05563,NP_524019.1,Gem3
99,Cell division cycle 27,FBgn0012058,Cdc27,Apc3,APC3,NP_648093.2,Cdc27
100,alien,FBgn0013746,alien,Alien,BcDNA:LD10463,NP_723438.1,alien
101,Insulin-like receptor,FBgn0283499,InR,18402,CG18402,NP_524436.2,InR
102,Rho1,FBgn0014020,Rho1,19549712,8416,NP_995850.1,Rho1
103,,FBgn0014037,,,,,Su(Tpl)
104,barren,FBgn0014127,barr,38B.3,Barr,NP_724240.1,barr
105,Minichromosome maintenance 2,FBgn0014861,Mcm2,CG7538,dMcm2,NP_477121.1,Mcm2
106,cyclope,FBgn0015031,cype,BcDNA:GH04604,CG14028,NP_536787.1,cype
107,Heat shock protein 60A,FBgn0015245,Hsp60A,12,BP5,NP_727489.1,Hsp60
108,Regulatory particle triple-A ATPase 2,FBgn0015282,Rpt2,5289,CG5289,NP_524469.2,Rpt2
109,Ribosomal protein L22,FBgn0015288,RpL22,anon-EST:Posey53,CG7434,NP_477134.1,RpL22
110,gluon,FBgn0015391,glu,anon-WO0118547.156,BcDNA.LD20207,NP_723996.1,glu
111,Cullin 1,FBgn0015509,Cul1,CG1877,cul-1,NP_724623.1,lin19
112,spaghetti,FBgn0015544,spag,CG13570,Dmel\CG13570,NP_524664.1,spag
113,Clipper,FBgn0015621,Clp,c6a,CG3642,NP_477156.1,Clp
114,DNA replication-related element factor,FBgn0015664,Dref,CG5838,dDREF,NP_523529.1,Dref
115,eukaryotic translation initiation factor 3 subunit i,FBgn0015834,eIF3i,CG8882,Dmel\CG8882,NP_523478.1,Trip1
116,disc proliferation abnormal,FBgn0015929,dpa,43Ca,CG1616,NP_477185.1,dpa
117,hiiragi,FBgn0015949,hrg,CG9854,dHrg,NP_001261097.1,hrg
118,maelstrom,FBgn0016034,mael,CG11254,Dmel\CG11254,NP_730739.1,mael
119,pitslre,FBgn0016696,Pitslre,cdk11,CG4268,NP_730563.1,Pitslre
120,smallminded,FBgn0016983,smid,CG8571,Dmel\CG8571,NP_001163371.1,smid
121,Regena,FBgn0017550,Rga,CG2138,CG2161,NP_524239.2,Rga
122,Minichromosome maintenance 5,FBgn0017577,Mcm5,CG4082,DmCDC46,NP_524308.2,Mcm5
123,Cytochrome c oxidase subunit 5A,FBgn0019624,COX5A,CG14724,cova,NP_731641.1,CoVa
