identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_y	subject_y
75.267	469.0	101.0	6.0	1.0	467.0	1.0	456.0	0.0	725.0	XP_015021491.1	NP_001014458.3
75.912	959.0	164.0	11.0	1.0	944.0	1.0	907.0	0.0	1435.0	XP_002003814.1	NP_001014465.1
87.571	885.0	86.0	10.0	1.0	876.0	1.0	870.0	0.0	1425.0	XP_032584265.1	NP_001014479.1
81.362	1116.0	170.0	8.0	1.0	1090.0	1.0	1104.0	0.0	1808.0	XP_032584983.1	NP_001014481.1
83.022	642.0	96.0	4.0	1.0	633.0	1.0	638.0	0.0	1078.0	XP_002002355.2	NP_001014484.2
75.777	1094.0	157.0	26.0	21.0	1063.0	59.0	1095.0	0.0	1301.0	XP_043864602.1	NP_001014486.1
75.975	1103.0	157.0	26.0	21.0	1072.0	59.0	1104.0	0.0	1319.0	XP_043864599.1	NP_001014487.1
64.32	412.0	145.0	2.0	4.0	413.0	3.0	414.0	0.0	546.0	XP_002003305.1	NP_001014492.2
60.941	425.0	165.0	1.0	1.0	424.0	1.0	425.0	0.0	561.0	XP_002003304.1	NP_001014493.2
54.145	386.0	172.0	3.0	1.0	384.0	8.0	390.0	2.5400000000000003e-157	448.0	XP_002003303.2	NP_001014494.1
86.123	454.0	62.0	1.0	1.0	453.0	1.0	454.0	0.0	828.0	XP_002003302.1	NP_001014495.1
77.126	341.0	76.0	2.0	3.0	341.0	7.0	347.0	6.850000000000001e-167	472.0	XP_043864863.1	NP_001014496.1
89.099	1165.0	106.0	7.0	1.0	1155.0	1.0	1154.0	0.0	2052.0	XP_015019027.1	NP_001014504.1
53.571	140.0	73.0	4.0	498.0	634.0	355.0	487.0	2.34e-28	144.0	XP_002005079.1	NP_001014505.1
93.165	834.0	57.0	0.0	1.0	834.0	1.0	834.0	0.0	1639.0	XP_002005718.1	NP_001014513.1
32.014	1162.0	726.0	16.0	1.0	1114.0	229.0	1374.0	0.0	665.0	XP_043864939.1	NP_001014521.2
59.074	1102.0	373.0	20.0	3.0	1090.0	14.0	1051.0	0.0	1123.0	XP_015019377.1	NP_001014523.1
78.73	677.0	83.0	11.0	1.0	646.0	1.0	647.0	0.0	1022.0	XP_043867265.1	NP_001014525.1
53.248	1555.0	477.0	43.0	161.0	1560.0	218.0	1677.0	0.0	1000.0	XP_032586186.1	NP_001014527.1
76.873	307.0	71.0	0.0	6.0	312.0	4.0	310.0	0.0	509.0	XP_002005654.1	NP_001014528.1
79.253	482.0	83.0	6.0	1.0	477.0	1.0	470.0	0.0	773.0	XP_002005655.1	NP_001014529.1
54.194	155.0	65.0	1.0	4.0	152.0	66.0	220.0	5.08e-43	142.0	XP_032586431.1	NP_001014533.1
82.124	923.0	128.0	13.0	1.0	903.0	1.0	906.0	0.0	1407.0	XP_032585522.1	NP_001014538.1
79.799	1396.0	206.0	26.0	1.0	1342.0	1.0	1374.0	0.0	1995.0	XP_015020117.1	NP_001014549.1
97.214	1974.0	52.0	1.0	46.0	2016.0	1.0	1974.0	0.0	3883.0	XP_015019170.1	NP_001014552.1
73.658	596.0	115.0	10.0	56.0	624.0	84.0	664.0	0.0	779.0	XP_032589151.2	NP_001014557.3
67.524	311.0	98.0	2.0	1.0	311.0	1.0	308.0	2.24e-161	452.0	XP_002011995.1	NP_001014558.1
50.655	229.0	102.0	4.0	18.0	240.0	1.0	224.0	5.52e-61	191.0	XP_032587804.1	NP_001014567.1
63.654	509.0	169.0	5.0	1.0	498.0	1.0	504.0	0.0	636.0	XP_032587803.1	NP_001014569.1
81.977	516.0	73.0	4.0	11.0	525.0	11.0	507.0	0.0	885.0	XP_032587307.1	NP_001014576.1
83.374	409.0	58.0	3.0	1.0	400.0	1.0	408.0	0.0	648.0	XP_015015940.1	NP_001014587.1
67.061	1014.0	254.0	20.0	1.0	960.0	1.0	988.0	0.0	1087.0	XP_002012134.2	NP_001014589.1
88.113	2019.0	183.0	21.0	1.0	1982.0	1.0	1999.0	0.0	3232.0	XP_002008741.2	NP_001014591.1
85.609	271.0	35.0	1.0	1.0	271.0	5.0	271.0	1.72e-173	479.0	XP_002009197.1	NP_001014600.1
48.204	334.0	164.0	6.0	2.0	333.0	3.0	329.0	4.82e-96	288.0	XP_002000393.1	NP_001014607.1
82.456	228.0	40.0	0.0	1.0	228.0	1.0	228.0	4.32e-146	407.0	XP_015022388.1	NP_001014609.2
47.059	442.0	170.0	18.0	1.0	397.0	1.0	423.0	1.41e-91	282.0	XP_001998659.1	NP_001014611.1
92.135	178.0	14.0	0.0	1.0	178.0	1.0	178.0	3.1200000000000004e-125	349.0	XP_043864242.1	NP_001014612.1
97.744	266.0	5.0	1.0	1.0	266.0	1.0	265.0	0.0	535.0	XP_015021928.1	NP_001014613.2
95.417	240.0	11.0	0.0	24.0	263.0	28.0	267.0	4.4e-157	442.0	XP_002000556.1	NP_001014616.2
88.281	512.0	24.0	2.0	1.0	476.0	1.0	512.0	0.0	866.0	XP_001998924.1	NP_001014617.1
67.305	627.0	150.0	11.0	268.0	867.0	278.0	876.0	0.0	633.0	XP_043863642.1	NP_001014632.3
99.281	139.0	1.0	0.0	1.0	139.0	1.0	139.0	5.82e-100	282.0	XP_015022623.1	NP_001014633.2
89.189	74.0	8.0	0.0	21.0	94.0	19.0	92.0	1.5899999999999999e-46	144.0	XP_002001465.1	NP_001014639.1
97.321	448.0	12.0	0.0	1.0	448.0	1.0	448.0	0.0	908.0	XP_032589548.1	NP_001014641.2
76.481	1148.0	168.0	18.0	1.0	1065.0	1.0	1129.0	0.0	1558.0	XP_015023242.1	NP_001014642.4
99.234	1175.0	8.0	1.0	1.0	1175.0	1.0	1174.0	0.0	2423.0	XP_043863540.1	NP_001014651.1
99.167	1200.0	9.0	1.0	1.0	1200.0	1.0	1199.0	0.0	2475.0	XP_015021870.1	NP_001014654.1
99.165	1197.0	9.0	1.0	1.0	1197.0	1.0	1196.0	0.0	2469.0	XP_015021868.1	NP_001014655.1
99.158	1187.0	9.0	1.0	1.0	1187.0	1.0	1186.0	0.0	2449.0	XP_015021886.1	NP_001014656.1
99.153	1180.0	9.0	1.0	1.0	1180.0	1.0	1179.0	0.0	2434.0	XP_015021875.1	NP_001014658.1
99.176	1213.0	9.0	1.0	1.0	1213.0	1.0	1212.0	0.0	2505.0	XP_015021877.1	NP_001014659.1
99.234	1175.0	8.0	1.0	1.0	1175.0	1.0	1174.0	0.0	2424.0	XP_043863539.1	NP_001014660.1
99.587	1210.0	5.0	0.0	1.0	1210.0	23.0	1232.0	0.0	2510.0	XP_032584027.1	NP_001014661.2
99.149	1175.0	9.0	1.0	1.0	1175.0	1.0	1174.0	0.0	2424.0	XP_015021871.1	NP_001014662.1
99.149	1175.0	9.0	1.0	1.0	1175.0	1.0	1174.0	0.0	2422.0	XP_015021874.1	NP_001014663.1
99.149	1175.0	9.0	1.0	1.0	1175.0	1.0	1174.0	0.0	2424.0	XP_015021865.1	NP_001014664.1
96.02	2764.0	105.0	4.0	2.0	2764.0	3.0	2762.0	0.0	5436.0	XP_032585628.1	NP_001014668.1
67.552	2145.0	471.0	53.0	1.0	2030.0	1.0	2035.0	0.0	2255.0	XP_002000714.2	NP_001014681.2
87.117	489.0	60.0	2.0	1.0	488.0	1.0	487.0	0.0	907.0	XP_015023481.1	NP_001014684.1
63.613	764.0	158.0	15.0	1.0	660.0	1.0	748.0	0.0	886.0	XP_015016269.1	NP_001014685.1
94.852	1185.0	58.0	2.0	1.0	1183.0	1.0	1184.0	0.0	2269.0	XP_015016192.1	NP_001014688.3
68.034	1292.0	286.0	34.0	1.0	1206.0	1.0	1251.0	0.0	1494.0	XP_043862973.1	NP_001014691.2
60.085	942.0	279.0	24.0	1.0	897.0	1.0	890.0	0.0	901.0	XP_002011402.1	NP_001014693.1
50.357	701.0	211.0	22.0	8.0	617.0	309.0	963.0	1.14e-150	459.0	XP_043863056.1	NP_001014695.1
53.182	660.0	271.0	11.0	31.0	663.0	105.0	753.0	0.0	611.0	XP_043862989.1	NP_001014703.1
52.941	646.0	266.0	11.0	31.0	649.0	105.0	739.0	0.0	593.0	XP_032588808.2	NP_001014705.1
92.742	496.0	32.0	3.0	87.0	579.0	1.0	495.0	0.0	899.0	XP_015017052.1	NP_001014708.1
95.627	1052.0	44.0	1.0	34.0	1083.0	143.0	1194.0	0.0	2051.0	XP_043865394.1	NP_001014714.1
81.062	433.0	82.0	0.0	16.0	448.0	14.0	446.0	0.0	750.0	XP_032588568.1	NP_001014718.1
59.74	154.0	40.0	5.0	4.0	150.0	29.0	167.0	9.17e-52	162.0	XP_002010565.1	NP_001014730.1
97.297	1850.0	44.0	1.0	1.0	1850.0	1.0	1844.0	0.0	3741.0	XP_043867443.1	NP_001014732.1
97.243	1850.0	45.0	1.0	1.0	1850.0	1.0	1844.0	0.0	3739.0	XP_043867444.1	NP_001014733.1
97.242	1849.0	45.0	1.0	1.0	1849.0	1.0	1843.0	0.0	3737.0	XP_043867446.1	NP_001014734.1
97.296	1849.0	44.0	1.0	1.0	1849.0	1.0	1843.0	0.0	3738.0	XP_043867445.1	NP_001014735.1
80.462	1213.0	192.0	19.0	1.0	1203.0	1.0	1178.0	0.0	1753.0	XP_015017096.2	NP_001014736.2
97.194	392.0	11.0	0.0	1.0	392.0	1.0	392.0	0.0	719.0	XP_015017048.1	NP_001014737.1
97.027	370.0	11.0	0.0	1.0	370.0	1.0	370.0	0.0	676.0	XP_015017051.1	NP_001014739.1
93.571	140.0	9.0	0.0	1.0	140.0	1.0	140.0	1.5600000000000002e-79	231.0	XP_015016132.1	NP_001014746.1
88.689	389.0	40.0	2.0	268.0	652.0	224.0	612.0	0.0	677.0	XP_043867590.1	NP_001014747.1
82.594	293.0	34.0	3.0	298.0	374.0	361.0	437.0	7.95e-28	510.0	XP_032588666.2	NP_001014752.2
82.927	287.0	32.0	3.0	1.0	273.0	1.0	284.0	1.29e-172	478.0	XP_015016458.1	NP_001014756.1
74.178	852.0	131.0	14.0	111.0	904.0	143.0	963.0	0.0	1143.0	XP_015016758.2	NP_001014760.2
78.414	769.0	137.0	9.0	5.0	767.0	4.0	749.0	0.0	1221.0	XP_002002612.1	NP_001015101.2
70.289	727.0	203.0	5.0	1.0	715.0	1.0	726.0	0.0	1023.0	XP_032584701.1	NP_001015132.1
86.461	421.0	52.0	1.0	1.0	416.0	1.0	421.0	0.0	753.0	XP_002008959.2	NP_001015151.1
95.988	673.0	27.0	0.0	1.0	673.0	1.0	673.0	0.0	1345.0	XP_015022239.1	NP_001015158.1
95.601	682.0	30.0	0.0	1.0	682.0	1.0	682.0	0.0	1359.0	XP_015022236.1	NP_001015160.2
85.211	142.0	21.0	0.0	1.0	142.0	1.0	142.0	5.34e-83	240.0	XP_001998468.1	NP_001015224.1
84.186	215.0	31.0	3.0	206.0	417.0	273.0	487.0	3.5399999999999996e-128	379.0	XP_002010693.1	NP_001015254.1
82.834	501.0	85.0	1.0	22.0	522.0	19.0	518.0	0.0	842.0	XP_015016358.1	NP_001015257.2
96.0	250.0	10.0	0.0	1.0	250.0	1.0	250.0	4.17e-167	485.0	XP_043863566.1	NP_001015260.3
96.266	241.0	9.0	0.0	1.0	241.0	1.0	241.0	5.5500000000000004e-161	468.0	XP_043863568.1	NP_001015262.1
71.619	2632.0	734.0	7.0	5.0	2630.0	28.0	2652.0	0.0	3848.0	XP_015021612.2	NP_001015316.1
