identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_y	subject_y
76.009	892.0	165.0	16.0	1.0	876.0	1.0	859.0	0.0	1274.0	XP_023306730.2	NP_001014479.1
44.01	409.0	223.0	3.0	3.0	407.0	9.0	415.0	1.74e-117	348.0	XP_046812586.1	NP_001014492.2
46.005	419.0	245.0	9.0	11.0	420.0	429.0	839.0	3.1199999999999996e-69	388.0	XP_046803045.1	NP_001014493.2
82.533	229.0	37.0	2.0	224.0	452.0	1.0	226.0	1.09e-138	397.0	XP_046800995.1	NP_001014495.1
83.877	1042.0	144.0	9.0	1.0	1028.0	1.0	1032.0	0.0	1750.0	XP_046809816.1	NP_001014504.1
85.326	184.0	27.0	0.0	1.0	184.0	1.0	184.0	2.52e-119	335.0	XP_023294075.1	NP_001014522.2
72.171	654.0	112.0	6.0	36.0	646.0	17.0	643.0	0.0	885.0	XP_046809719.1	NP_001014525.1
51.415	212.0	103.0	0.0	103.0	314.0	8.0	219.0	3.71e-81	245.0	XP_046810011.1	NP_001014528.1
62.839	479.0	167.0	5.0	1.0	476.0	1.0	471.0	0.0	621.0	XP_023296210.2	NP_001014529.1
33.333	150.0	93.0	2.0	9.0	152.0	5.0	153.0	9.93e-22	85.9	XP_046811122.1	NP_001014533.1
51.482	371.0	178.0	1.0	17.0	385.0	23.0	393.0	3.19e-143	413.0	XP_023304799.2	NP_001014548.1
65.661	1392.0	373.0	20.0	1.0	1342.0	1.0	1337.0	0.0	1613.0	XP_023300844.2	NP_001014549.1
65.361	485.0	146.0	11.0	60.0	531.0	118.0	593.0	0.0	573.0	XP_046808632.1	NP_001014557.3
68.182	308.0	97.0	1.0	4.0	311.0	3.0	309.0	9.280000000000001e-157	440.0	XP_023295377.2	NP_001014558.1
55.405	296.0	120.0	7.0	311.0	602.0	491.0	778.0	1.2e-100	324.0	XP_046807794.1	NP_001014565.2
46.49	527.0	251.0	10.0	1.0	498.0	1.0	525.0	1.5900000000000002e-163	473.0	XP_023302799.2	NP_001014569.1
75.362	414.0	84.0	6.0	3.0	415.0	2.0	398.0	0.0	611.0	XP_023305961.2	NP_001014587.1
80.672	119.0	23.0	0.0	646.0	764.0	616.0	734.0	2.0900000000000001e-57	214.0	XP_023307067.2	NP_001014589.1
80.815	2012.0	311.0	22.0	1.0	1983.0	1.0	1966.0	0.0	2908.0	XP_023300416.2	NP_001014591.1
86.667	210.0	28.0	0.0	60.0	269.0	36.0	245.0	2.38e-136	384.0	XP_023300195.2	NP_001014600.1
45.894	682.0	235.0	22.0	67.0	662.0	63.0	696.0	1.02e-152	463.0	XP_023302418.2	NP_001014604.1
70.996	231.0	67.0	0.0	1.0	231.0	1.0	231.0	4.1399999999999995e-128	361.0	XP_023295552.2	NP_001014609.2
89.326	178.0	19.0	0.0	1.0	178.0	1.0	178.0	1.0099999999999999e-119	335.0	XP_046806601.1	NP_001014612.1
95.167	269.0	10.0	2.0	1.0	266.0	1.0	269.0	0.0	514.0	XP_046804128.1	NP_001014613.2
88.479	217.0	25.0	0.0	16.0	232.0	20.0	236.0	5.16e-144	405.0	XP_046806676.1	NP_001014616.2
86.51	467.0	50.0	3.0	1.0	467.0	1.0	454.0	0.0	799.0	XP_046805532.1	NP_001014617.1
64.037	1635.0	367.0	48.0	1155.0	2642.0	3213.0	4773.0	4.29e-13	1727.0	XP_046804285.1	NP_001014624.1
82.609	137.0	33.0	2.0	780.0	825.0	246.0	291.0	8.83e-18	166.0	XP_046805223.1	NP_001014632.3
96.403	139.0	5.0	0.0	1.0	139.0	1.0	139.0	1.2e-96	274.0	XP_023296701.1	NP_001014633.2
59.574	94.0	36.0	1.0	1.0	94.0	1.0	92.0	1.66e-35	116.0	XP_023298977.2	NP_001014639.1
97.545	448.0	11.0	0.0	1.0	448.0	1.0	448.0	0.0	911.0	XP_046806042.1	NP_001014641.2
94.629	875.0	29.0	4.0	328.0	1197.0	1.0	862.0	0.0	1715.0	XP_046806733.1	NP_001014655.1
