identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_y	subject_y
48.329	389.0	195.0	5.0	206.0	386.0	301.0	686.0	1.2e-06	359.0	XP_044572151.1	NP_001014456.1
85.501	469.0	64.0	2.0	1.0	468.0	1.0	466.0	0.0	769.0	XP_001962128.1	NP_001014458.3
81.828	974.0	105.0	11.0	1.0	944.0	1.0	932.0	0.0	1547.0	XP_001965124.1	NP_001014465.1
80.932	708.0	111.0	10.0	1.0	690.0	1.0	702.0	0.0	1096.0	XP_014762166.1	NP_001014467.1
92.622	881.0	56.0	5.0	1.0	876.0	1.0	877.0	0.0	1582.0	XP_032311323.1	NP_001014479.1
87.042	1119.0	105.0	10.0	1.0	1090.0	1.0	1108.0	0.0	1889.0	XP_014760506.1	NP_001014481.1
89.258	633.0	67.0	1.0	1.0	633.0	1.0	632.0	0.0	1184.0	XP_014761833.1	NP_001014484.2
87.027	1056.0	95.0	14.0	34.0	1063.0	1.0	1040.0	0.0	1451.0	XP_044572298.1	NP_001014486.1
87.136	1065.0	95.0	14.0	34.0	1072.0	1.0	1049.0	0.0	1470.0	XP_032311172.1	NP_001014487.1
74.458	415.0	105.0	1.0	1.0	414.0	1.0	415.0	0.0	635.0	XP_001965256.2	NP_001014492.2
76.995	426.0	98.0	0.0	1.0	426.0	1.0	426.0	0.0	706.0	XP_001965255.1	NP_001014493.2
62.73	381.0	139.0	2.0	6.0	386.0	7.0	384.0	4.31e-174	491.0	XP_001965254.1	NP_001014494.1
92.17	447.0	34.0	1.0	1.0	447.0	1.0	446.0	0.0	862.0	XP_001965253.1	NP_001014495.1
80.523	344.0	61.0	3.0	4.0	341.0	8.0	351.0	0.0	523.0	XP_014762049.1	NP_001014496.1
92.958	568.0	34.0	4.0	1.0	566.0	1.0	564.0	0.0	1051.0	XP_032309174.1	NP_001014498.1
74.768	2152.0	367.0	50.0	1.0	2027.0	1.0	2101.0	0.0	2312.0	XP_032307044.1	NP_001014500.2
95.246	1157.0	53.0	1.0	1.0	1155.0	1.0	1157.0	0.0	2180.0	XP_001961026.1	NP_001014504.1
96.763	834.0	27.0	0.0	1.0	834.0	1.0	834.0	0.0	1689.0	XP_001958799.1	NP_001014513.1
43.658	1159.0	609.0	10.0	1.0	1125.0	234.0	1382.0	0.0	988.0	XP_001960915.2	NP_001014521.2
90.217	184.0	18.0	0.0	1.0	184.0	1.0	184.0	7.68e-124	347.0	XP_001961061.1	NP_001014522.2
78.598	1084.0	211.0	8.0	19.0	1090.0	26.0	1100.0	0.0	1666.0	XP_014762606.1	NP_001014523.1
90.84	655.0	48.0	6.0	1.0	646.0	1.0	652.0	0.0	1102.0	XP_032307010.1	NP_001014525.1
68.369	1625.0	369.0	42.0	14.0	1560.0	13.0	1570.0	0.0	1546.0	XP_032306025.1	NP_001014527.1
84.375	320.0	48.0	1.0	1.0	320.0	1.0	318.0	0.0	565.0	XP_001959354.1	NP_001014528.1
87.117	489.0	55.0	3.0	1.0	483.0	1.0	487.0	0.0	862.0	XP_001959355.1	NP_001014529.1
43.979	191.0	106.0	1.0	8.0	198.0	8.0	197.0	4e-56	176.0	XP_032312240.1	NP_001014531.1
65.409	159.0	48.0	1.0	1.0	152.0	1.0	159.0	7.55e-73	216.0	XP_001960622.1	NP_001014533.1
92.096	835.0	62.0	4.0	1.0	832.0	1.0	834.0	0.0	1413.0	XP_032306422.1	NP_001014540.2
90.415	772.0	71.0	2.0	15.0	783.0	1.0	772.0	0.0	1426.0	XP_014759065.1	NP_001014546.1
84.533	375.0	58.0	0.0	22.0	396.0	25.0	399.0	0.0	655.0	XP_001960667.2	NP_001014548.1
87.97	1355.0	133.0	12.0	1.0	1342.0	1.0	1338.0	0.0	2196.0	XP_032307219.1	NP_001014549.1
86.371	587.0	70.0	5.0	48.0	624.0	101.0	687.0	0.0	943.0	XP_032310493.1	NP_001014557.3
85.852	311.0	44.0	0.0	1.0	311.0	1.0	311.0	0.0	576.0	XP_014765406.1	NP_001014558.1
69.481	616.0	151.0	9.0	1.0	605.0	1.0	590.0	0.0	704.0	XP_014764322.1	NP_001014565.2
69.323	251.0	60.0	2.0	1.0	234.0	1.0	251.0	3.12e-116	332.0	XP_044570302.1	NP_001014566.1
68.872	257.0	63.0	2.0	1.0	240.0	1.0	257.0	2.3e-118	338.0	XP_044570301.1	NP_001014567.1
74.225	516.0	115.0	3.0	1.0	498.0	1.0	516.0	0.0	765.0	XP_001957487.3	NP_001014569.1
85.946	1665.0	184.0	20.0	1.0	1644.0	1.0	1636.0	0.0	2478.0	XP_001956044.2	NP_001014571.1
82.846	752.0	106.0	6.0	11.0	757.0	11.0	744.0	0.0	1182.0	XP_032310784.1	NP_001014576.1
85.714	406.0	43.0	5.0	1.0	400.0	1.0	397.0	0.0	683.0	XP_014764204.1	NP_001014587.1
73.721	997.0	207.0	16.0	1.0	960.0	1.0	979.0	0.0	1189.0	XP_032310715.1	NP_001014589.1
92.412	1990.0	132.0	8.0	1.0	1983.0	1.0	1978.0	0.0	3388.0	XP_001958281.2	NP_001014591.1
91.057	246.0	22.0	0.0	26.0	271.0	12.0	257.0	6.03e-170	470.0	XP_032310728.1	NP_001014600.1
54.354	333.0	136.0	3.0	1.0	333.0	1.0	317.0	5.37e-111	326.0	XP_001953350.1	NP_001014607.1
88.21	229.0	27.0	0.0	1.0	229.0	1.0	229.0	1.09e-157	436.0	XP_014766382.1	NP_001014609.2
66.259	409.0	119.0	6.0	1.0	398.0	1.0	401.0	6.75e-173	489.0	XP_001954863.1	NP_001014611.1
96.067	178.0	7.0	0.0	1.0	178.0	1.0	178.0	3.8100000000000005e-129	360.0	XP_001964460.1	NP_001014612.1
83.529	340.0	38.0	6.0	1.0	323.0	1.0	339.0	1.7e-175	489.0	XP_032312182.1	NP_001014616.2
89.243	502.0	28.0	4.0	1.0	476.0	1.0	502.0	0.0	860.0	XP_032310791.1	NP_001014617.1
97.479	476.0	10.0	2.0	1.0	476.0	1.0	474.0	0.0	962.0	XP_032306250.1	NP_001014627.2
76.653	711.0	118.0	11.0	276.0	962.0	280.0	966.0	0.0	779.0	XP_032305668.1	NP_001014632.3
99.281	139.0	1.0	0.0	1.0	139.0	1.0	139.0	6.92e-100	282.0	XP_014760793.1	NP_001014633.2
73.54	548.0	141.0	3.0	1.0	547.0	1.0	545.0	0.0	800.0	XP_014760794.1	NP_001014635.1
83.871	93.0	15.0	0.0	1.0	93.0	1.0	93.0	5.9800000000000005e-56	168.0	XP_001953653.1	NP_001014639.1
99.404	1175.0	7.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2430.0	XP_014766328.1	NP_001014651.1
99.417	1200.0	7.0	0.0	1.0	1200.0	1.0	1200.0	0.0	2483.0	XP_014766330.1	NP_001014654.1
99.415	1197.0	7.0	0.0	1.0	1197.0	1.0	1197.0	0.0	2478.0	XP_014766329.1	NP_001014655.1
99.41	1187.0	7.0	0.0	1.0	1187.0	1.0	1187.0	0.0	2459.0	XP_014766341.1	NP_001014656.1
99.407	1180.0	7.0	0.0	1.0	1180.0	1.0	1180.0	0.0	2443.0	XP_014766342.1	NP_001014658.1
99.423	1213.0	7.0	0.0	1.0	1213.0	1.0	1213.0	0.0	2515.0	XP_014766331.1	NP_001014659.1
99.404	1175.0	7.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2431.0	XP_014766325.1	NP_001014660.1
99.752	1210.0	3.0	0.0	1.0	1210.0	1.0	1210.0	0.0	2518.0	XP_032305451.1	NP_001014661.2
99.404	1175.0	7.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2433.0	XP_014766336.1	NP_001014662.1
99.404	1175.0	7.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2428.0	XP_014766327.1	NP_001014663.1
99.404	1175.0	7.0	0.0	1.0	1175.0	1.0	1175.0	0.0	2430.0	XP_014766340.1	NP_001014664.1
84.6	1000.0	99.0	19.0	1.0	968.0	1.0	977.0	0.0	1528.0	XP_014766233.1	NP_001014678.1
80.33	2120.0	267.0	38.0	1.0	2030.0	1.0	2060.0	0.0	2720.0	XP_014766231.1	NP_001014681.2
93.852	488.0	30.0	0.0	1.0	488.0	1.0	488.0	0.0	978.0	XP_014765872.1	NP_001014684.1
73.51	755.0	173.0	11.0	1.0	747.0	1.0	736.0	0.0	1056.0	XP_032311731.1	NP_001014685.1
95.268	1120.0	47.0	2.0	1.0	1120.0	1.0	1114.0	0.0	2143.0	XP_032311663.1	NP_001014687.3
95.689	1183.0	45.0	2.0	1.0	1183.0	1.0	1177.0	0.0	2283.0	XP_032311661.1	NP_001014688.3
78.512	1210.0	228.0	14.0	1.0	1201.0	1.0	1187.0	0.0	1719.0	XP_044573605.1	NP_001014691.2
65.401	922.0	273.0	24.0	1.0	898.0	1.0	900.0	0.0	1020.0	XP_001966246.1	NP_001014693.1
56.651	639.0	224.0	19.0	6.0	618.0	5.0	616.0	0.0	554.0	XP_044573560.1	NP_001014695.1
97.481	516.0	8.0	1.0	1.0	516.0	1.0	511.0	0.0	1051.0	XP_044573602.1	NP_001014696.1
67.054	689.0	187.0	16.0	4.0	680.0	1.0	661.0	0.0	804.0	XP_032311977.2	NP_001014701.1
50.0	648.0	272.0	11.0	26.0	663.0	13.0	618.0	0.0	556.0	XP_044573705.1	NP_001014703.1
