identity	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	query_y	subject_y
63.824	387.0	137.0	2.0	1.0	386.0	1.0	385.0	0.0	509.0	XP_017009712.2	NP_001014456.1
90.618	469.0	43.0	1.0	1.0	468.0	1.0	469.0	0.0	818.0	XP_017009676.2	NP_001014458.3
91.697	1108.0	71.0	9.0	1.0	1090.0	1.0	1105.0	0.0	1952.0	XP_044251097.1	NP_001014481.1
92.5	640.0	41.0	2.0	1.0	633.0	1.0	640.0	0.0	1210.0	XP_017007143.2	NP_001014484.2
37.975	158.0	88.0	3.0	1.0	153.0	1.0	153.0	6.050000000000001e-27	98.6	XP_016996992.2	NP_001014488.1
82.609	414.0	72.0	0.0	1.0	414.0	1.0	414.0	0.0	709.0	XP_017007061.2	NP_001014492.2
81.604	424.0	78.0	0.0	1.0	424.0	1.0	424.0	0.0	744.0	XP_044249540.1	NP_001014493.2
79.744	390.0	78.0	1.0	1.0	389.0	1.0	390.0	0.0	661.0	XP_044249538.1	NP_001014494.1
96.087	460.0	18.0	0.0	1.0	460.0	1.0	460.0	0.0	924.0	XP_017006929.1	NP_001014495.1
90.351	342.0	31.0	2.0	2.0	341.0	6.0	347.0	0.0	602.0	XP_044249514.1	NP_001014496.1
96.127	568.0	20.0	2.0	1.0	566.0	1.0	568.0	0.0	1130.0	XP_017000646.2	NP_001014498.1
81.554	2098.0	220.0	36.0	1.0	2027.0	1.0	2002.0	0.0	2557.0	XP_017001532.2	NP_001014500.2
89.522	1403.0	106.0	15.0	1.0	1375.0	1.0	1390.0	0.0	1821.0	XP_044251701.1	NP_001014503.1
50.507	691.0	273.0	12.0	1.0	634.0	1.0	679.0	0.0	540.0	XP_044251850.1	NP_001014505.1
57.562	1124.0	469.0	5.0	1.0	1123.0	1.0	1117.0	0.0	1379.0	XP_017002673.2	NP_001014521.2
96.136	647.0	21.0	2.0	1.0	646.0	1.0	644.0	0.0	1182.0	XP_017001012.2	NP_001014525.1
83.365	1587.0	205.0	20.0	21.0	1560.0	25.0	1599.0	0.0	1909.0	XP_016998005.2	NP_001014527.1
89.375	320.0	34.0	0.0	1.0	320.0	1.0	320.0	0.0	599.0	XP_016993832.2	NP_001014528.1
93.238	488.0	27.0	3.0	1.0	484.0	1.0	486.0	0.0	905.0	XP_016993789.2	NP_001014529.1
66.842	190.0	63.0	0.0	4.0	193.0	12.0	201.0	1.68e-100	290.0	XP_016999454.2	NP_001014530.1
56.667	180.0	78.0	0.0	1.0	180.0	1.0	180.0	4.8100000000000006e-79	233.0	XP_016999479.2	NP_001014531.1
79.605	152.0	31.0	0.0	1.0	152.0	1.0	152.0	4.909999999999999e-89	255.0	XP_017015656.2	NP_001014533.1
95.96	693.0	19.0	5.0	1.0	687.0	146.0	835.0	0.0	1288.0	XP_017014449.2	NP_001014537.1
90.296	371.0	36.0	0.0	22.0	392.0	32.0	402.0	0.0	697.0	XP_017005588.2	NP_001014548.1
91.777	1362.0	81.0	15.0	1.0	1342.0	1.0	1351.0	0.0	2311.0	XP_017007886.2	NP_001014549.1
88.776	588.0	52.0	6.0	51.0	624.0	59.0	646.0	0.0	956.0	XP_017006925.2	NP_001014557.3
90.675	311.0	29.0	0.0	1.0	311.0	1.0	311.0	0.0	601.0	XP_017014305.2	NP_001014558.1
